detecteddistrict,detectedstate,population,long,lat
Adilabad,Telangana,708972,78.53333,19.66667
Agar Malwa ,Madhya Pradesh,571278,76.1,23.94
Agra,Uttar Pradesh,4418797,78.02,27.18
Ahmadabad,Gujarat,7045313,72.58,23.03
Ahmadnagar,Maharashtra,4543159,74.7325,19.09806
Aizawl,Mizoram,400309,92.71667,23.73333
Ajmer,Rajasthan,2583052,74.42,26.27
Akola,Maharashtra,1813906,77,20.73333
Alappuzha,Kerala,2127789,76.32861,9.49778
Aligarh,Uttar Pradesh,3673889,78.08,27.88
Alipurduar ,West Bengal,1491250,89.679575,26.623615
Alirajpur,Madhya Pradesh,728999,74.36,22.305
Allahabad,Uttar Pradesh,5954391,81.85,25.45
Almora,Uttarakhand,622506,79.67,29.62
Alwar,Rajasthan,3674179,76.625,27.56246
Ambala,Haryana,1128350,76.7725,30.37861
Ambedkar Nagar,Uttar Pradesh,2397888,82.65,26.55
Amethi ,Uttar Pradesh,2549935,81.8057,26.1568
Amravati,Maharashtra,2888445,77.75,20.93333
Amreli,Gujarat,1514190,71.23333,21.61667
Amritsar,Punjab,2490656,74.85,31.61667
Amroha,Uttar Pradesh,1840221,78.4675,28.9044
Anand,Gujarat,2092745,72.951,22.556
Anantapur,Andhra Pradesh,4081148,77.6,14.68333
Anantnag,Jammu and Kashmir,1078692,75.22038,33.74568
Anjaw,Arunachal Pradesh,21167,96.84465,28.033207
Anugul,Odisha,1273821,85.02389,20.79722
Anuppur,Madhya Pradesh,749237,81.7,23.12
Araria,Bihar,2811569,87.52,26.15
Aravalli ,Gujarat,1039918,72.68333,23.21667
Ariyalur,Tamil Nadu,754894,79.07611,11.15111
Arwal,Bihar,700843,84.67,25.24
Ashoknagar,Madhya Pradesh,845071,77.678059,24.658536
Auraiya,Uttar Pradesh,1379545,79.51167,26.46306
Aurangabad,Bihar,2540073,84.3667,24.75
Aurangabad,Maharashtra,3701282,75.34344,19.88879
Azamgarh,Uttar Pradesh,4613913,83.19,26.06
Badgam,Jammu and Kashmir,753745,74.78,34.02
Bagalkot,Karnataka,1889752,75.7,16.18333
Bageshwar,Uttarakhand,259898,79.77,29.85
Baghpat,Uttar Pradesh,1303048,77.22,28.95
Bahraich,Uttar Pradesh,3487731,81.59583,27.57417
Baksa,Assam,950075,91.72,26.52
Balaghat,Madhya Pradesh,1701698,80.18,21.8
Balangir,Odisha,1648997,83.5,20.7
Baleshwar,Odisha,2320529,86.9335,21.4927
Ballia,Uttar Pradesh,3239774,84.15194,25.7625
Baloda Bazar ,Chhattisgarh,1305343,82.17,21.67
Balod ,Chhattisgarh,826165,81.2,20.73
Balrampur,Uttar Pradesh,2148665,82.18,27.43
Balrampur ,Chhattisgarh,730491,83.480212,23.627727
Banas Kantha,Gujarat,3120506,72.43139,24.17306
Banda,Uttar Pradesh,1799410,80.33333,25.48333
Bandipore,Jammu and Kashmir,392232,74.65,34.4167
Bangalore,Karnataka,9621551,77.59796,12.96991
Bangalore Rural,Karnataka,990923,77.339839,13.182217
Banka,Bihar,2034763,86.92,24.88
Bankura,West Bengal,3596674,87.06667,23.25
Banswara,Rajasthan,1797485,74.4425,23.54083
Bara Banki,Uttar Pradesh,3260699,81.306891,26.923854
Baramula,Jammu and Kashmir,1008039,74.34,34.2
Baran,Rajasthan,1222755,76.51,25.1
Bareilly,Uttar Pradesh,4448359,79.415,28.364
Bargarh,Odisha,1481255,83.616,21.333
Barmer,Rajasthan,2603751,71.38333,25.75
Barnala,Punjab,595527,75.55,30.3833
Barpeta,Assam,1693622,91.00632,26.32293
Barwani,Madhya Pradesh,1385881,74.9,22.03
Bastar,Chhattisgarh,834375,82.0331,19.0667
Basti,Uttar Pradesh,2464464,82.7167,26.8
Bathinda,Punjab,1388525,74.95,30.23
Baudh,Odisha,441162,84.333,20.833
Begusarai,Bihar,2970541,86.13,25.42
Belgaum,Karnataka,4779661,74.5,15.86667
Bellary,Karnataka,2452595,77.086359,15.187284
Bemetara ,Chhattisgarh,795759,81.5375,21.7197
Betul,Madhya Pradesh,1575362,77.9,21.92
Bhadohi ,Uttar Pradesh,1578213,82.570292,25.393193
Bhadradri Kothagudem ,Telangana,1069261,80.63,17.55
Bhadrak,Odisha,1506337,86.52,21.05278
Bhagalpur,Bihar,3037766,87.01667,25.25
Bhandara,Maharashtra,1200334,80,21.18333
Bharatpur,Rajasthan,2548462,77.49,27.21722
Bharuch,Gujarat,1551019,72.96667,21.7
Bhavnagar,Gujarat,2393272,72.13694,21.765
Bhilwara,Rajasthan,2408523,74.63333,25.35
Bhind,Madhya Pradesh,1703005,78.7911,26.5622
Bhiwani,Haryana,1132169,76.13333,28.78333
Bhojpur,Bihar,2728407,85.13,25.37
Bhopal,Madhya Pradesh,2371061,77.41667,23.25
Bid,Maharashtra,2585049,75.7563,18.9892
Bidar,Karnataka,1703300,77.55,17.9
Bijapur,Chhattisgarh,255230,80.68333,18.75
Bijapur,Karnataka,2177331,75.72,16.82
Bijnor,Uttar Pradesh,3682713,78.13,29.37
Bikaner,Rajasthan,2363937,73.31694,28.01806
Bilaspur,Chhattisgarh,1961922,82.253807,22.01845
Bilaspur,Himachal Pradesh,381956,76.75,31.33
Birbhum,West Bengal,3502404,87.53,23.9
Bishnupur,Manipur,237399,93.76667,24.63333
Biswanath ,Assam,612491,91.77,26.14
Bokaro,Jharkhand,2062330,86.11,23.6892
Bongaigaon,Assam,738804,90.5667,26.4667
Botad ,Gujarat,656005,71.67,22.17
Budaun,Uttar Pradesh,3127621,78.98333,28.11667
Bulandshahr,Uttar Pradesh,3499171,77.85,28.4
Buldana,Maharashtra,2586258,76.18333,20.53333
Bundi,Rajasthan,1110906,75.63722,25.43833
Burhanpur,Madhya Pradesh,757847,76.199409,21.33505
Buxar,Bihar,1706352,83.98054,25.56049
Cachar,Assam,1736617,92.81,24.84
Central,Delhi,582320,77.21667,28.66667
Chamarajanagar,Karnataka,1020791,77.3,12
Chamba,Himachal Pradesh,519080,76.13,32.57
Chamoli,Uttarakhand,391605,79.33,30.42
Champawat,Uttarakhand,259648,80.1,29.33
Champhai,Mizoram,125745,93.32556,23.47444
Chandauli,Uttar Pradesh,1952756,83.26778,25.25694
Chandel,Manipur,85072,93.98333,24.31667
Chandigarh,Chandigarh,1055450,76.743637,30.717896
Chandrapur,Maharashtra,2204307,79.3,19.95
Changlang,Arunachal Pradesh,148226,95.74,27.13
Charaideo ,Assam,458615,91.77,26.14
Charkhi Dadri ,Haryana,502276,76.27,28.59
Chatra,Jharkhand,1042886,84.87704,24.20451
Chennai,Tamil Nadu,4646732,80.27,13.08389
Chhatarpur,Madhya Pradesh,1762375,79.6,24.9
Chhindwara,Madhya Pradesh,2090922,78.94806,22.05972
Chhota Udaipur ,Gujarat,1071831,74.0158,22.304
Chikkaballapura,Karnataka,1255104,77.56029,12.97021
Chikmagalur,Karnataka,1137961,75.78333,13.31667
Chirang,Assam,482162,90.647737,26.64781
Chitradurga,Karnataka,1659456,76.4,14.23333
